time_ms, x_mm, y_mm, heading_deg
14041, 520.2020965680432, -177.3838102877861, -27
14108, 519.2885511104006, -176.9770736447103, -24
14174, 520.2157349649674, -177.3516802381262, -22
14242, 527.6332058015018, -180.3485329854535, -22
14309, 533.1963089289025, -182.596172545949, -22
14378, 539.68659591087, -185.2184186998604, -22
14444, 546.1768828928375, -187.8406648537718, -22
14509, 549.0134386196355, -188.8173693171433, -19
14577, 549.0134386196355, -188.8173693171433, -16
14643, 549.0134386196355, -188.8173693171433, -14
14708, 555.8055087035675, -190.5108225863409, -14
14773, 562.5975787874995, -192.2042758555386, -14
14843, 569.3896488714315, -193.8977291247363, -14
14910, 576.1817189553636, -195.591182393934, -14
14974, 582.0034933130195, -197.042713767532, -14
15038, 586.8753436369457, -198.1674690392513, -13
15108, 585.8850755682041, -198.0282959382912, -8
15174, 586.8776217198455, -198.1501652816964, -7
15243, 593.8254447813347, -199.0032506855324, -7
15310, 601.7658139944652, -199.9782054327736, -7
15377, 607.7210909043132, -200.7094214932045, -7
15442, 614.6689139658024, -201.5625068970404, -7
15512, 621.6167370272916, -202.4155923008765, -7
15578, 627.5720139371396, -203.1468083613074, -7
15646, 628.5706434718942, -203.1991443175503, -3
15714, 628.5706434718942, -203.1991443175503, 0
15781, 628.5706434718942, -203.1991443175503, 3
15847, 628.5706434718942, -203.1991443175503, 7
15912, 628.5706434718942, -203.1991443175503, 10
15984, 628.5706434718942, -203.1991443175503, 14
16051, 628.5706434718942, -203.1991443175503, 17
16118, 628.5706434718942, -203.1991443175503, 20
16184, 628.5706434718942, -203.1991443175503, 23
16251, 628.5706434718942, -203.1991443175503, 27
16317, 630.3365386576121, -202.2602011919786, 28
16383, 636.5171718076246, -198.9739002524773, 28
16450, 641.7648900504609, -196.0650425309993, 29
16518, 643.4422311863519, -194.9757644609692, 33
16584, 642.6332141919769, -195.5635497132617, 36
16651, 642.6332141919769, -195.5635497132617, 39
16717, 642.6332141919769, -195.5635497132617, 42
16783, 642.6332141919769, -195.5635497132617, 46
16848, 646.1687480979097, -192.028015807329, 45
16913, 651.8256023474021, -186.3711615578366, 45
16983, 655.9175925077771, -181.9830393481216, 47
17051, 655.2748048980905, -182.7490837912405, 50
17117, 655.2748048980905, -182.7490837912405, 53
17183, 656.4219577707926, -181.1107797026625, 55
17252, 661.1242397891324, -174.638643747663, 54
17318, 664.5656984072387, -169.723731481929, 55
17383, 666.7442545472987, -166.3690492101473, 57
17451, 666.2442545472987, -167.2350746139318, 60
17515, 666.2442545472987, -167.2350746139318, 63
17582, 668.9681975457361, -161.8890354688016, 63
17651, 672.1461310439129, -155.651989799483, 63
17718, 675.2147290714364, -149.3604314753888, 64
17787, 677.8449559521708, -143.9676671975938, 64
17853, 678.6264182091494, -142.1266574906889, 67
17926, 678.3008500546922, -143.0721760662882, 71
17990, 679.2775545180636, -140.2356203394903, 71
18054, 681.8820997537209, -132.6714717346958, 71
18122, 684.161076834921, -126.0528417055006, 71
18190, 686.4400539161211, -119.4342116763053, 71
18254, 688.393462842864, -113.7611002227094, 71
18319, 690.3468717696069, -108.0879887691135, 71
18385, 692.2009737358565, -102.3816496713426, 72
18449, 692.2009737358565, -102.3816496713426, 76
18514, 692.2009737358565, -102.3816496713426, 79
18582, 693.1550187127393, -97.47351375410426, 79
18648, 694.4906816803751, -90.6021234699706, 79
18712, 695.8263446480109, -83.73073318583696, 79
18781, 696.9711986202703, -77.84097008515097, 79
18847, 698.3068615879061, -70.96957980101732, 79
18912, 699.6425245555419, -64.09818951688367, 79
18975, 700.7873785278012, -58.20842641619769, 79
19042, 701.9322325000604, -52.31866331551171, 79
19108, 703.2678954676962, -45.44727303137805, 79
19181, 704.7943674307086, -37.59425556379675, 79
19245, 705.9392214029678, -31.70449246311076, 79
19311, 707.2748843706037, -24.83310217897712, 79
19374, 708.419738342863, -18.94333907829113, 79
19443, 709.7554013104988, -12.07194879415749, 79
19508, 710.6236421988334, -7.147910029096444, 80
19572, 710.6236421988334, -7.147910029096444, 84
19641, 710.7979536843287, -5.155520632912953, 85
19710, 711.5296529272022, 1.80613263466496, 84
19775, 712.1397431264358, 8.779495521307179, 85
19842, 712.7498333256694, 15.7528584079494, 85
19906, 713.3770041052753, 21.71998978015904, 84
19973, 713.9870943045089, 28.69335266680126, 85
20041, 714.5971845037425, 35.66671555344348, 85
20111, 715.1201189602284, 41.64388374199396, 85
20176, 715.730209159462, 48.61724662863618, 85
20243, 716.3402993586956, 55.5906095152784, 85
20311, 716.9503895579291, 62.56397240192062, 85
20383, 717.5604797571627, 69.53733528856283, 85
20447, 718.0834142136487, 75.51450347711331, 85
20512, 718.6935044128822, 82.48786636375554, 85
20577, 719.2164388693682, 88.46503455230602, 85
20643, 719.8265290686018, 95.43839743894823, 85
20710, 720.4366192678354, 102.4117603255905, 85
20775, 720.9595537243213, 108.3889285141409, 85
20841, 721.5696439235549, 115.3622914007832, 85
20910, 722.1797341227885, 122.3356542874254, 85
20976, 722.7026685792744, 128.3128224759759, 85
21045, 723.312758778508, 135.286185362618, 85
21111, 723.9228489777416, 142.2595482492603, 85
21183, 724.5329391769751, 149.2329111359025, 85
21250, 725.1430293762087, 156.2062740225447, 85
21318, 725.6659638326946, 162.1834422110951, 85
21382, 726.2760540319282, 169.1568050977374, 85
21448, 726.7989884884141, 175.1339732862878, 85
21513, 727.4090786876477, 182.1073361729301, 85
21580, 728.0191688868813, 189.0806990595723, 85
